process,question_order,question,field_priority,required_on_final_default
Receiving,1,What is the purpose of this process and where does it begin and end?,high,false
Receiving,2,"Who performs, supervises, approves, or depends on the process?",high,false
Receiving,3,What event triggers the process and what inputs must be available?,high,false
Receiving,4,"Describe the actual steps observed, including sequence, handoffs, queues, and waiting.",high,false
Receiving,5,"Which systems, screens, spreadsheets, paper forms, labels, scanners, printers, or devices are used?",high,false
Receiving,6,"What information is captured, by whom, at what point, and how is it validated?",high,false
Receiving,7,"What volumes, frequencies, seasonal peaks, cut-off times, and service targets apply?",normal,false
Receiving,8,What is working well and should be preserved?,normal,false
Receiving,9,"Which exceptions, workarounds, rework loops, or supervisor interventions occur?",normal,false
Receiving,10,"Where do errors, delays, searching, duplicate entry, congestion, or lost visibility occur?",normal,false
Receiving,11,What is the operational/customer/safety/compliance/financial effect of the problem?,normal,false
Receiving,12,What baseline evidence exists and what additional measurement is needed?,normal,false
Receiving,13,"Which photos, forms, labels, screenshots, maps, or reports demonstrate the current practice?",high,false
Receiving,14,"What future outcome does the prospect want, and how would success be measured?",normal,false
Receiving,15,"What assumptions, integration dependencies, policy constraints, or physical constraints must be validated?",normal,false
Receiving,16,"What inbound order types are received: purchase, transfer, customer return, non-stock, miscellaneous, or third-party goods?",normal,false
Receiving,17,"How are appointments, vehicles, security, dock access, and unloading coordinated?",normal,false
Receiving,18,"How is expected-versus-received quantity verified and how are overages, shortages, damage, and substitutions handled?",normal,false
Receiving,19,"Which item, supplier, alternate, GTIN, lot, serial, expiry, owner, job, country-of-origin, or UOM identifiers are captured?",normal,false
Receiving,20,Where is inventory staged after receipt and when does it become available?,normal,false
Receiving,21,"Are inspections, quarantine, quality dispositions, holds, or document approvals required?",normal,false
Receiving,22,"How are labels, license plates/IHUs, receipt documents, and third-party notifications produced?",normal,false
Receiving,23,"How long is dock-to-system receipt and dock-to-stock, and what causes variance?",normal,false
Putaway,1,What is the purpose of this process and where does it begin and end?,high,false
Putaway,2,"Who performs, supervises, approves, or depends on the process?",high,false
Putaway,3,What event triggers the process and what inputs must be available?,high,false
Putaway,4,"Describe the actual steps observed, including sequence, handoffs, queues, and waiting.",high,false
Putaway,5,"Which systems, screens, spreadsheets, paper forms, labels, scanners, printers, or devices are used?",high,false
Putaway,6,"What information is captured, by whom, at what point, and how is it validated?",high,false
Putaway,7,"What volumes, frequencies, seasonal peaks, cut-off times, and service targets apply?",normal,false
Putaway,8,What is working well and should be preserved?,normal,false
Putaway,9,"Which exceptions, workarounds, rework loops, or supervisor interventions occur?",normal,false
Putaway,10,"Where do errors, delays, searching, duplicate entry, congestion, or lost visibility occur?",normal,false
Putaway,11,What is the operational/customer/safety/compliance/financial effect of the problem?,normal,false
Putaway,12,What baseline evidence exists and what additional measurement is needed?,normal,false
Putaway,13,"Which photos, forms, labels, screenshots, maps, or reports demonstrate the current practice?",high,false
Putaway,14,"What future outcome does the prospect want, and how would success be measured?",normal,false
Putaway,15,"What assumptions, integration dependencies, policy constraints, or physical constraints must be validated?",normal,false
Putaway,16,"How is the destination selected: fixed, operator knowledge, printed instruction, suggested, or system-directed?",normal,false
Putaway,17,"What location, zone, capacity, mixing, owner, lot, status, temperature, security, and equipment rules apply?",normal,false
Putaway,18,"Is inventory moved loose, on a pallet/license plate/IHU, in a cart, or through cross-dock?",normal,false
Putaway,19,How are from/to locations and inventory identity confirmed?,normal,false
Putaway,20,"How are overflow, reserve, temporary, blocked, or full locations handled?",normal,false
Putaway,21,"What is receipt-to-putaway time, travel distance, and frequency of incorrect location placement?",normal,false
Transfer,1,What is the purpose of this process and where does it begin and end?,high,false
Transfer,2,"Who performs, supervises, approves, or depends on the process?",high,false
Transfer,3,What event triggers the process and what inputs must be available?,high,false
Transfer,4,"Describe the actual steps observed, including sequence, handoffs, queues, and waiting.",high,false
Transfer,5,"Which systems, screens, spreadsheets, paper forms, labels, scanners, printers, or devices are used?",high,false
Transfer,6,"What information is captured, by whom, at what point, and how is it validated?",high,false
Transfer,7,"What volumes, frequencies, seasonal peaks, cut-off times, and service targets apply?",normal,false
Transfer,8,What is working well and should be preserved?,normal,false
Transfer,9,"Which exceptions, workarounds, rework loops, or supervisor interventions occur?",normal,false
Transfer,10,"Where do errors, delays, searching, duplicate entry, congestion, or lost visibility occur?",normal,false
Transfer,11,What is the operational/customer/safety/compliance/financial effect of the problem?,normal,false
Transfer,12,What baseline evidence exists and what additional measurement is needed?,normal,false
Transfer,13,"Which photos, forms, labels, screenshots, maps, or reports demonstrate the current practice?",high,false
Transfer,14,"What future outcome does the prospect want, and how would success be measured?",normal,false
Transfer,15,"What assumptions, integration dependencies, policy constraints, or physical constraints must be validated?",normal,false
Transfer,16,"Which transfers occur: bin-to-bin, warehouse-to-warehouse, owner/job change, replenishment, staging, field, or intercompany?",normal,false
Transfer,17,What authorizes the transfer and when is an order required?,normal,false
Transfer,18,"How are in-transit status, shipment, receipt confirmation, loss, damage, and partial quantities handled?",normal,false
Transfer,19,Can intact handling units be moved and are nested containers used?,normal,false
Transfer,20,"What location/warehouse restrictions, reason codes, and audit requirements apply?",normal,false
Transfer,21,How are urgent or unplanned movements recorded?,normal,false
Order Management,1,What is the purpose of this process and where does it begin and end?,high,false
Order Management,2,"Who performs, supervises, approves, or depends on the process?",high,false
Order Management,3,What event triggers the process and what inputs must be available?,high,false
Order Management,4,"Describe the actual steps observed, including sequence, handoffs, queues, and waiting.",high,false
Order Management,5,"Which systems, screens, spreadsheets, paper forms, labels, scanners, printers, or devices are used?",high,false
Order Management,6,"What information is captured, by whom, at what point, and how is it validated?",high,false
Order Management,7,"What volumes, frequencies, seasonal peaks, cut-off times, and service targets apply?",normal,false
Order Management,8,What is working well and should be preserved?,normal,false
Order Management,9,"Which exceptions, workarounds, rework loops, or supervisor interventions occur?",normal,false
Order Management,10,"Where do errors, delays, searching, duplicate entry, congestion, or lost visibility occur?",normal,false
Order Management,11,What is the operational/customer/safety/compliance/financial effect of the problem?,normal,false
Order Management,12,What baseline evidence exists and what additional measurement is needed?,normal,false
Order Management,13,"Which photos, forms, labels, screenshots, maps, or reports demonstrate the current practice?",high,false
Order Management,14,"What future outcome does the prospect want, and how would success be measured?",normal,false
Order Management,15,"What assumptions, integration dependencies, policy constraints, or physical constraints must be validated?",normal,false
Order Management,16,Which outbound order types exist and where are they created?,normal,false
Order Management,17,How do orders enter the warehouse system and how often are they synchronized?,normal,false
Order Management,18,"How are allocation, reservation, priority, hold, release, cut-off, route, customer, and ship-date decisions made?",normal,false
Order Management,19,"Are partial allocations, backorders, substitutions, short shipment, cancellations, or changes allowed?",normal,false
Order Management,20,"How are waves/batches created, sequenced, released, and monitored?",normal,false
Order Management,21,What administration and supervisor effort is required before work reaches operators?,normal,false
Picking,1,What is the purpose of this process and where does it begin and end?,high,false
Picking,2,"Who performs, supervises, approves, or depends on the process?",high,false
Picking,3,What event triggers the process and what inputs must be available?,high,false
Picking,4,"Describe the actual steps observed, including sequence, handoffs, queues, and waiting.",high,false
Picking,5,"Which systems, screens, spreadsheets, paper forms, labels, scanners, printers, or devices are used?",high,false
Picking,6,"What information is captured, by whom, at what point, and how is it validated?",high,false
Picking,7,"What volumes, frequencies, seasonal peaks, cut-off times, and service targets apply?",normal,false
Picking,8,What is working well and should be preserved?,normal,false
Picking,9,"Which exceptions, workarounds, rework loops, or supervisor interventions occur?",normal,false
Picking,10,"Where do errors, delays, searching, duplicate entry, congestion, or lost visibility occur?",normal,false
