capability_id,name,domain,controlled_description,typical_prerequisites,status,source
CAP-MOB-001,Mobile Applications and Offline Queue,Cross-process,"Smart/rugged mobile workflows, real-time task lists, host-system exchange, and supported offline field transaction synchronization.","Device/browser support, wireless/offline policy, user security.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-INB-001,Inbound Order Receipt,Receiving,"Receive purchase, transfer, sales return, and other inbound orders using mobile prompts and controlled inventory attributes.","Inbound order integration, item/UOM/location configuration.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-INB-002,Receipt Inspection and Disposition,Receiving / Quality,"Route designated receipts to inspection, capture pass/fail and reason, prevent failed inventory putaway.",Inspection setup and disposition process.,Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-INB-003,Supplier and Customer Returns,Receiving / Outbound,Process supplier returns and customer RMAs through controlled order and inventory transactions.,Return order/RMA integration and hold locations.,Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-IHU-001,Inventory Handling Units / License Plates,Inventory,"Create, identify, pack/unpack, nest/unnest, transfer, and preserve container hierarchy for pallets, totes, carts, kegs, or LPNs.","IHU types, labels/barcodes, mixing rules.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-PUT-001,Mobile Putaway,Putaway,Identify received inventory and transfer it from receiving to storage using configurable starting options and intact IHU scanning.,"Location model, receiving/storage types, mobile workflow.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-TRN-001,Inventory and IHU Transfer,Transfer,"Move loose, lot, serialized, or handling-unit inventory within or between warehouses with reason and location validation.","Valid warehouses/locations, status and transfer rules.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-RPL-001,Replenishment,Replenishment,Move inventory from reserve/storage to pick locations using allocated quantities and mobile confirmation.,"Pick faces, min/max or demand trigger, location setup.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-AVL-001,Availability Status and Holds,Inventory Control,"Apply warning/error and timed/permanent restrictions to lots, serials, IHUs, items, owners, jobs, locations, and zones.",Status definitions and transaction validation rules.,Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-LOT-001,"Lot, Serial, Expiry, Grade, Potency, Origin",Inventory Control,"Capture and control traceability attributes including lot, serial, expiration/best-before, grade, potency, and country of origin.",Item control configuration and data capture.,Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-ADJ-001,Inventory Adjustment / Miscellaneous Receipt and Issue,Inventory Control,"Controlled exception transactions for positive/negative inventory with role security, reason code, explanation, lot/serial/IHU support.",Restricted roles and reason-code governance.,Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-INQ-001,Inventory Inquiry,Inventory Visibility,"Search balances and transactions by item, location, handling unit, lot, serial, owner, job, and related attributes as supported.",Current data integration and authorization.,Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-CC-001,Cycle Count Entry and Review,Cycle Count,"Directed/blind counting by warehouse, zone, location, item, lot, serial, or IHU, including unexpected inventory and controlled approval.","Count policy, roles, adjustment/reconciliation integration.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-CC-002,ABC Count Frequency and Variance Analysis,Cycle Count,Prioritize count frequency and use user/location/transaction evidence to investigate variance probability.,ABC setup; variance analysis may require location coordinates and sufficient history.,Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-ALL-001,Allocation Rules,Order Management,"Reserve inventory by lot, location, IHU, order, and line with FIFO/FEFO/UOM-by-zone, integrity, partial allocation, and override controls.","Outbound settings, item/location data, order integration.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-WAV-001,Wave Planning and Release,Order Management,"Create manual or scheduled waves, split/order grouping policy, and release work for efficient execution.","Wave templates, order attributes, operational policy.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-PCK-001,"Single, Wave, Zone, and Work Order Picking",Picking,"Mobile directed picking with allocation, item/location/IHU/lot/quantity prompts and movement to pack, ship, or handling unit.",Allocation and mobile configuration; barcode/location readiness.,Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-PCK-002,"Pick Sequence, UOM by Zone, and Pick-to-Clear",Picking,"Optimize pick order and allocation using travel sequence, zone UOM, FIFO/FEFO, and location-clearing logic.",Accurate location sequence and UOM configuration.,Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-PAC-001,Order Pack and Outbound Packing Units,Packing,"Pack picked inventory into OPUs, capture quantity and shipment details, nest/unnest units, close completed packing units.","Packing locations, OPU types, label/document integration.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-SHP-001,Ship Order and Load/Unload,Shipping,"Confirm shipment, record shipment details, move packing units to/from transport, and capture seal where applicable.","Shipment/order status, loading process, carrier integration.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-SHP-002,Third-Party Parcel/TMS Integration,Shipping,Pass OPU/shipment data to an integrated shipping system such as Pacejet or a configured custom integration and receive rates/tracking/freight data.,"Commercial subscription, endpoint configuration, integration design.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-WO-001,Work Order Pick and Material Issue,Work Orders,"Allocate/pick/issue materials to work orders with job, job cost, owner, lot/IHU, location, and traceability attributes.",Work-order and material-demand integration.,Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-KIT-001,Kit Work Order Pick and Complete,Work Orders / Kitting,"Pick component items, assemble a kit, and complete the kit work order into a location or IHU.",Kit BOM and work-order setup.,Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-MFG-001,Manufacturing Material Issue Methods,Manufacturing,"Support manual issue, preflush, backflush at pay points/final pay point, floor stock, and non-stock issue behaviors.",BOM/routing/work-order configuration and accounting design.,Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-FLD-001,Field Inventory,Field Inventory,"Transfer, adjust, inquire, consume, and synchronize inventory outside the warehouse, including supported offline work.","Field locations/users/devices, sync and conflict policy.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-INT-001,Host-System Integration Mapping,Integration,"Map and exchange items, orders, returns, adjustments, and related records with ERP/EAM/host systems.","Source ownership, API/file design, reconciliation and error handling.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-RPT-001,"Insights, Dashboards, and Operational Reporting",Reporting,Provide operational visibility and structured inquiry/reporting based on captured real-time transactions.,"Defined KPIs, history, data model, roles.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-PRT-001,Enterprise Printing and Labels,Printing,"Generate scannable inventory, receipt, LPN/IHU, pick, pack, ship, and compliant labels/documents.","Printer infrastructure, templates, barcode standards.",Proposed - requires product approval,Advanced Inventory and approved discovery reports
CAP-ORG-001,Organization and Warehouse Structure,Cross-process,"Represent companies, warehouses and organizational settings used by Cloud Inventory operations.","Company and warehouse structure, identifiers and applicable organizational settings.",Approved - controlled configuration source,"PSO Guided Setup v2.7 and BAF interview template v2.6"
CAP-LOC-001,Location and Zone Management,Cross-process,"Structure warehouse storage using identified locations, operational areas, zones and related storage controls.","Warehouse/location master data and physical storage design.",Approved - controlled configuration source,"PSO Guided Setup v2.7 and BAF interview template v2.6"
CAP-BCS-001,Barcode and Scanning,Cross-process,"Use barcode scanning and parsing across supported Cloud Inventory mobile workflows.","Barcode standards, labels and scanning devices.",Approved - controlled configuration source,"PSO Guided Setup v2.7 and BAF interview template v2.6"
CAP-INV-001,Inventory Attribute Control,Inventory Control,"Track operational inventory attributes and controls used to identify and manage stock.","Item and inventory master-data definitions.",Approved - controlled configuration source,"PSO Guided Setup v2.7 and BAF interview template v2.6"
CAP-REQ-001,Inventory Requests,Inventory Control,"Manage internal requests for inventory and warehouse fulfillment.","Request ownership, notification and fulfillment process.",Approved - controlled configuration source,"PSO Guided Setup v2.7 and BAF interview template v2.6"
